Year_of_Birth Gender Child's_First_Name Count Rank
2011 FEMALE SHERLYN 13 75
2011 FEMALE SHIRLEY 15 73
2011 FEMALE SIENNA 17 71
2011 FEMALE SKYLA 21 67
2011 FEMALE SKYLAR 12 76
2011 FEMALE SOFIA 165 6
2011 FEMALE SOPHIA 223 3
2011 FEMALE SOPHIE 12 76
2011 FEMALE STACY 10 78
2011 FEMALE STELLA 11 77
2011 FEMALE STEPHANIE 50 41
2011 FEMALE STEPHANY 11 77
2011 FEMALE TATIANA 11 77
2011 FEMALE TAYLOR 13 75
2011 FEMALE TIANA 11 77
2011 FEMALE TIFFANY 24 64
2011 FEMALE VALENTINA 85 19
2011 FEMALE VALERIA 45 45
2011 FEMALE VALERIE 53 38
2011 FEMALE VANESSA 42 47
2011 FEMALE VERONICA 10 78
2011 FEMALE VICTORIA 114 11
2011 FEMALE VIOLET 14 74
2011 FEMALE VIVIANA 11 77
2011 FEMALE WENDY 12 76
2011 FEMALE XIMENA 18 70
2011 FEMALE YAMILET 11 77
2011 FEMALE YARETZI 22 66
2011 FEMALE ZOE 65 28
2011 FEMALE ZOEY 27 61
2011 FEMALE ABIGAIL 103 19
2011 FEMALE ADDISON 19 72
2011 FEMALE ADELE 22 69
2011 FEMALE ADELINE 12 79
2011 FEMALE ADINA 19 72
2011 FEMALE ADRIANA 29 62
2011 FEMALE ADRIANNA 18 73
2011 FEMALE AHUVA 16 75
2011 FEMALE ALESSANDRA 20 71
2011 FEMALE ALESSIA 14 77
2011 FEMALE ALEXA 54 40
2011 FEMALE ALEXANDRA 109 17
2011 FEMALE ALEXIS 27 64
2011 FEMALE ALICE 50 43
2011 FEMALE ALICIA 11 80
2011 FEMALE ALINA 11 80
2011 FEMALE ALISA 14 77
2011 FEMALE ALIZA 22 69
2011 FEMALE ALLISON 15 76
2011 FEMALE ALYSSA 28 63
2011 FEMALE AMANDA 15 76
2011 FEMALE AMELIA 62 37
2011 FEMALE AMELIE 15 76
2011 FEMALE AMINA 17 74
2011 FEMALE AMIRA 11 80
2011 FEMALE AMY 11 80
2011 FEMALE ANASTASIA 19 72
2011 FEMALE ANGELICA 10 81
2011 FEMALE ANGELINA 50 43
2011 FEMALE ANNA 85 25
2011 FEMALE ANNABEL 14 77
2011 FEMALE ANNABELLE 27 64
2011 FEMALE ARIANA 27 64
2011 FEMALE ARIANNA 28 63
2011 FEMALE ARIEL 14 77
2011 FEMALE ARIELA 10 81
2011 FEMALE ARIELLA 26 65
2011 FEMALE ASHLEY 20 71
2011 FEMALE ATARA 10 81
2011 FEMALE AUBREY 10 81
2011 FEMALE AUDREY 26 65
2011 FEMALE AUTUMN 10 81
2011 FEMALE AVA 162 8
2011 FEMALE AVERY 52 41
2011 FEMALE AVIGAIL 11 80
2011 FEMALE AVIVA 18 73
2011 FEMALE AYLA 10 81
2011 FEMALE BAILA 40 51
2011 FEMALE BARBARA 12 79
2011 FEMALE BATSHEVA 20 71
2011 FEMALE BATYA 15 76
2011 FEMALE BEATRICE 33 58
2011 FEMALE BELLA 22 69
2011 FEMALE BIANCA 10 81
2011 FEMALE BLAKE 14 77
2011 FEMALE BLIMA 20 71
2011 FEMALE BLIMY 23 68
2011 FEMALE BRACHA 24 67
2011 FEMALE BREINDY 15 76
2011 FEMALE BRIANNA 32 59
2011 FEMALE BRIDGET 14 77
2011 FEMALE BROOKE 33 58
2011 FEMALE BROOKLYN 15 76
2011 FEMALE BRUCHA 19 72
2011 FEMALE BRUCHY 13 78
2011 FEMALE BRYNN 14 77
2011 FEMALE CAITLIN 11 80
2011 FEMALE CAMERON 11 80
2011 FEMALE CAROLINE 52 41
2011 FEMALE CASEY 12 79
2011 FEMALE CATHERINE 33 58
2011 FEMALE CECILIA 16 75
2011 FEMALE CELIA 10 81
2011 FEMALE CHANA 132 10
2011 FEMALE CHANY 38 53
2011 FEMALE CHARLIE 14 77
2011 FEMALE CHARLOTTE 127 12
2011 FEMALE CHAVA 46 46
2011 FEMALE CHAVY 10 81
2011 FEMALE CHAYA 178 5
2011 FEMALE CHLOE 95 22
2011 FEMALE CHRISTINA 14 77
2011 FEMALE CLAIRE 35 56
2011 FEMALE CLARA 28 63
2011 FEMALE COLETTE 14 77
2011 FEMALE CORA 10 81
2011 FEMALE DAHLIA 15 76
2011 FEMALE DAISY 13 78
2011 FEMALE DALIA 10 81
2011 FEMALE DANIELA 13 78
2011 FEMALE DANIELLA 41 50
2011 FEMALE DANIELLE 15 76
2011 FEMALE DEVORA 17 74
2011 FEMALE DEVORAH 44 48
2011 FEMALE DIANA 13 78
2011 FEMALE DINA 41 50
2011 FEMALE DYLAN 20 71
2011 FEMALE EDEN 24 67
2011 FEMALE ELEANOR 39 52
2011 FEMALE ELENA 19 72
2011 FEMALE ELIANA 36 55
2011 FEMALE ELISE 13 78
2011 FEMALE ELISHEVA 14 77
2011 FEMALE ELIZA 25 66
2011 FEMALE ELIZABETH 100 21
2011 FEMALE ELLA 127 12
2011 FEMALE ELLE 17 74
2011 FEMALE ELLIANA 11 80
2011 FEMALE ELLIE 26 65
2011 FEMALE ELOISE 24 67
2011 FEMALE EMERSON 16 75
2011 FEMALE EMILIA 33 58
2011 FEMALE EMILY 119 14
2011 FEMALE EMMA 213 2
2011 FEMALE ERIN 15 76
2011 FEMALE ESTER 14 77
2011 FEMALE ESTHER 224 1
2011 FEMALE ESTY 18 73
2011 FEMALE ETTY 15 76
2011 FEMALE EVA 64 35
2011 FEMALE EVE 22 69
2011 FEMALE EVELYN 39 52
2011 FEMALE FAIGA 16 75
2011 FEMALE FAIGY 72 30
2011 FEMALE FINLEY 11 80
2011 FEMALE FIONA 30 61
2011 FEMALE FRADEL 16 75
2011 FEMALE FRAIDY 26 65
2011 FEMALE FRANCESCA 33 58
2011 FEMALE FRIMET 10 81
2011 FEMALE GABRIELA 19 72
2011 FEMALE GABRIELLA 102 20
2011 FEMALE GABRIELLE 15 76
2011 FEMALE GEMMA 15 76
2011 FEMALE GENEVIEVE 12 79
2011 FEMALE GEORGIA 26 65
2011 FEMALE GIA 26 65
2011 FEMALE GIANNA 68 33
2011 FEMALE GIOVANNA 10 81
2011 FEMALE GITTEL 23 68
2011 FEMALE GITTY 82 27
2011 FEMALE GIULIANA 41 50
2011 FEMALE GOLDA 14 77
2011 FEMALE GOLDY 33 58
2011 FEMALE GRACE 93 24
2011 FEMALE GRETA 12 79
2011 FEMALE HADASSA 11 80
2011 FEMALE HADASSAH 15 76
2011 FEMALE HAILEY 34 57
2011 FEMALE HANNA 11 80
2011 FEMALE HANNAH 71 31
2011 FEMALE HARPER 30 61
2011 FEMALE HAZEL 18 73
2011 FEMALE HENNY 18 73
2011 FEMALE HINDY 37 54
2011 FEMALE IDY 10 81
2011 FEMALE ILANA 10 81
2013 MALE Jared 25 80
2011 FEMALE ISABEL 34 57
2011 FEMALE ISABELLA 160 9
2011 FEMALE ISABELLE 25 66
2011 FEMALE ISLA 14 77
2011 FEMALE IVY 15 76
2011 FEMALE IZABELLA 10 81
2011 FEMALE JACQUELINE 20 71
2011 FEMALE JANE 27 64
2011 FEMALE JASMINE 14 77
2011 FEMALE JENNA 22 69
2011 FEMALE JESSICA 22 69
2011 FEMALE JORDYN 11 80
2011 FEMALE JOSEPHINE 33 58
2011 FEMALE JOYCE 14 77
2011 FEMALE JULIA 116 15
2011 FEMALE JULIANA 38 53
2011 FEMALE JULIANNA 28 63
2011 FEMALE JULIE 10 81
2011 FEMALE JULIET 36 55
2011 FEMALE JULIETTE 23 68
2011 FEMALE KAITLYN 17 74
2011 FEMALE ARELY 12 76
2011 FEMALE KATE 17 74
2011 FEMALE KATHERINE 44 48
2011 FEMALE KATHRYN 12 79
2011 FEMALE KAYLA 45 47
2011 FEMALE KAYLEE 11 80
2011 FEMALE KIRA 11 80
2011 FEMALE KYLIE 13 78
2011 FEMALE LAILA 23 68
2011 FEMALE LARA 13 78
2011 FEMALE LAURA 18 73
2011 FEMALE LAUREN 26 65
2011 FEMALE LAYLA 29 62
2011 FEMALE LEA 29 62
2011 FEMALE LEAH 183 3
2011 FEMALE LEILA 10 81
2011 FEMALE LENA 29 62
2011 FEMALE LEORA 12 79
2011 FEMALE LIA 23 68
2011 FEMALE LIANA 17 74
2011 FEMALE LIBA 20 71
2011 FEMALE LIBBY 23 68
2011 FEMALE LILA 34 57
2011 FEMALE LILAH 12 79
2011 FEMALE LILIANA 29 62
2011 FEMALE LILLIAN 47 45
2011 FEMALE LILLY 13 78
2011 FEMALE LILY 81 28
2011 FEMALE LINA 13 78
2011 FEMALE LOLA 22 69
2011 FEMALE LONDON 10 81
2013 MALE Jariel 25 80
2011 FEMALE LUCY 47 45
2011 FEMALE LYLA 21 70
2011 FEMALE MACKENZIE 18 73
2011 FEMALE MADELEINE 24 67
2011 FEMALE MADELINE 39 52
2011 FEMALE MADELYN 15 76
2011 FEMALE MADISON 57 39
2011 FEMALE MAEVE 21 70
2011 FEMALE MAKAYLA 12 79
2011 FEMALE MALAK 15 76
2011 FEMALE MALKA 63 36
2011 FEMALE MALKY 59 38
2011 FEMALE MARGARET 25 66
2011 FEMALE MARIA 39 52
2011 FEMALE MARIAM 17 74
2011 FEMALE MARY 16 75
2011 FEMALE MATILDA 14 77
2011 FEMALE MAYA 94 23
2011 FEMALE MELANIE 12 79
2011 FEMALE MIA 116 15
2011 FEMALE MICHAELA 15 76
2011 FEMALE MICHAL 16 75
2011 FEMALE MICHELLE 35 56
2011 FEMALE MIKAYLA 12 79
2011 FEMALE MILA 31 60
2011 FEMALE MILENA 13 78
2011 FEMALE MINDY 24 67
2011 FEMALE MIRI 10 81
2011 FEMALE MIRIAM 131 11
2011 FEMALE MOLLY 36 55
2011 FEMALE MORGAN 20 71
2011 FEMALE NAOMI 46 46
2011 FEMALE NATALIA 20 71
2011 FEMALE NATALIE 40 51
2011 FEMALE NECHAMA 25 66
2011 FEMALE NICOLE 45 47
2011 FEMALE NICOLETTE 10 81
2011 FEMALE NINA 39 52
2011 FEMALE NOA 34 57
2011 FEMALE NORA 23 68
2011 FEMALE OLIVIA 213 2
2011 FEMALE PAIGE 13 78
2011 FEMALE PARKER 13 78
2011 FEMALE PEARL 23 68
2011 FEMALE PENELOPE 38 53
2011 FEMALE PEREL 15 76
2011 FEMALE PESSY 26 65
2011 FEMALE PHOEBE 23 68
2011 FEMALE PIPER 11 80
2011 FEMALE QUINN 10 81
2011 FEMALE RACHEL 171 7
2011 FEMALE RAIZEL 20 71
2011 FEMALE RAIZY 51 42
2011 FEMALE REBECCA 54 40
2011 FEMALE REESE 13 78
2011 FEMALE RIFKA 12 79
2011 FEMALE RIFKY 13 78
2011 FEMALE RILEY 28 63
2011 FEMALE RIVKA 113 16
2011 FEMALE RIVKY 43 49
2011 FEMALE ROCHEL 22 69
2011 FEMALE ROIZY 13 78
2011 FEMALE ROSE 35 56
2011 FEMALE RUBY 28 63
2011 FEMALE RUCHY 12 79
2011 FEMALE RUTH 11 80
2011 FEMALE RYAN 14 77
2011 FEMALE SABRINA 34 57
2011 FEMALE SADIE 32 59
2011 FEMALE SALMA 17 74
2011 FEMALE SAMANTHA 74 29
2011 FEMALE SARA 107 18
2011 FEMALE SARAH 177 6
2011 FEMALE SASHA 16 75
2011 FEMALE SAVANNAH 16 75
2011 FEMALE SCARLETT 31 60
2011 FEMALE SERENA 16 75
2011 FEMALE SHAINA 16 75
2011 FEMALE SHAINDEL 15 76
2011 FEMALE SHAINDY 48 44
2011 FEMALE SHEVY 10 81
2011 FEMALE SHIFRA 20 71
2011 FEMALE SHIRA 22 69
2011 FEMALE SHOSHANA 22 69
2011 FEMALE SIENA 16 75
2011 FEMALE SIENNA 38 53
2011 FEMALE SIMA 19 72
2011 FEMALE SIMI 10 81
2011 FEMALE SIMONE 15 76
2011 FEMALE SKYLAR 17 74
2011 FEMALE SLOANE 17 74
2011 FEMALE SOFIA 122 13
2011 FEMALE SOPHIA 180 4
2011 FEMALE SOPHIE 65 34
2011 FEMALE STELLA 69 32
2011 FEMALE SUMMER 16 75
2011 FEMALE SURI 14 77
